Specimen label,popler Parallel,,,Specimen label,popler cross,,,Specimen label,oak parallel,,,Specimen label,oak cross,
Anvil height,38.19,mm,,Anvil height,37.333,mm,,Anvil height,39.31,mm,,Anvil height,38.4233,mm
Width,38.0133,mm,,Width,38.2867,mm,,Width,38.5433,mm,,Width,38.43,mm
Thickness,37.8567,mm,,Thickness,37.4467,mm,,Thickness,38.4267,mm,,Thickness,38.9533,mm
Rate 1,2,mm/min,,Rate 1,2,mm/min,,Rate 1,2,mm/min,,Rate 1,2,mm/min
,,,,,,,,,,,,,,
Time,Extension,Load,,Time,Extension,Load,,Time,Extension,Load,,Time,Extension,Load
(sec),(mm),(N),,(sec),(mm),(N),,(sec),(mm),(N),,(sec),(mm),(N)
0,-0.00004,1.60236,,0,-0.00008,-1.23327,,0,-0.00016,-0.18339,,0,-0.00036,-0.35386
0.1,-0.0002,1.98561,,0.1,-0.00024,0.92676,,0.1,-0.00064,-1.10586,,0.1,-0.00088,-0.34211
0.2,-0.00076,1.37585,,0.2,-0.00164,-0.44089,,0.2,-0.00168,0.7101,,0.2,-0.00204,0.45341
0.3,-0.0018,1.0647,,0.3,-0.00452,-0.2763,,0.3,-0.00356,0.77828,,0.3,-0.00436,0.64934
0.4,-0.00368,0.9973,,0.4,-0.00792,-0.18852,,0.4,-0.00656,0.91858,,0.4,-0.0076,0.44557
0.5,-0.00708,0.79352,,0.5,-0.01156,-0.01218,,0.5,-0.01032,0.50397,,0.5,-0.0112,-1.07805
0.6,-0.01124,-1.33359,,0.6,-0.01532,-1.06398,,0.6,-0.01436,-0.14655,,0.6,-0.015,-0.82804
0.7,-0.01556,-1.44802,,0.7,-0.01912,-0.44325,,0.7,-0.01848,0.40051,,0.7,-0.01888,-0.15009
0.8,-0.01992,-1.90808,,0.8,-0.02292,-0.56159,,0.8,-0.02244,0.00237,,0.8,-0.02272,-1.013
0.9,-0.02428,-2.34699,,0.9,-0.02668,0.78412,,0.9,-0.0264,-0.59015,,0.9,-0.0266,-0.79041
1,-0.02856,-2.85016,,1,-0.03044,-1.15411,,1,-0.03028,-0.46475,,1,-0.03044,-2.11966
1.1,-0.03272,-6.08158,,1.1,-0.03416,-2.25293,,1.1,-0.03412,-1.84024,,1.1,-0.0342,-4.09473
1.2,-0.0368,-4.68179,,1.2,-0.03784,-1.03968,,1.2,-0.03792,-2.03618,,1.2,-0.03784,-4.12921
1.3,-0.04076,-6.00242,,1.3,-0.04148,-1.99665,,1.3,-0.04172,-3.04096,,1.3,-0.0416,-5.79704
1.4,-0.04464,-6.35746,,1.4,-0.04508,-3.06804,,1.4,-0.04536,-3.40854,,1.4,-0.04528,-6.88097
1.5,-0.04844,-7.66633,,1.5,-0.04856,-4.98275,,1.5,-0.04908,-5.65478,,1.5,-0.04892,-8.80509
1.6,-0.05208,-9.47132,,1.6,-0.05204,-7.58952,,1.6,-0.05272,-7.51698,,1.6,-0.05248,-12.42447
1.7,-0.05572,-9.06455,,1.7,-0.05548,-10.30445,,1.7,-0.05632,-8.71926,,1.7,-0.056,-13.85013
1.8,-0.05928,-10.55055,,1.8,-0.05892,-13.00449,,1.8,-0.05984,-11.02585,,1.8,-0.05948,-16.07599
